Customer_ID,Age,Gender,City,Annual_Income,Total_Spending,Average_Order_Value,Purchase_Frequency,Preferred_Category,Discount_Usage,Days_Since_Last_Purchase,Customer_Lifetime_Months,Spending_To_Income_Ratio,Monthly_Spend_Velocity,Discount_Sensitivity,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,RFM_Sum,RFM_Segment,Predicted_CLV_3Yr,CLV_Tier,Cluster,Customer_Persona
LUM-1286,34,Male,Dubai,151400.0,5720.22,178.76,32,Bath & Body,0.66,7,29,0.0378,197.25,High,5,4,5,545,14,Champions,3784.83,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1287,42,Female,Tokyo,92700.0,3472.58,204.27,17,Fragrance,0.13,17,34,0.0375,102.13,Low,4,2,3,423,9,Potential Loyalists,1959.67,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1288,39,Female,New York,133700.0,5157.78,107.45,48,Haircare,0.06,6,58,0.0386,88.93,Low,5,5,5,555,15,Champions,1706.39,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1289,29,Female,New York,22000.0,1577.84,225.41,7,Fragrance,0.36,66,12,0.0717,131.49,High,1,1,1,111,3,Lost Customers,2523.03,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1290,33,Male,Milan,113500.0,4058.57,176.46,23,Makeup,0.24,12,42,0.0358,96.63,Moderate,4,3,4,434,11,Loyal Customers,1854.14,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1291,30,Female,Los Angeles,60000.0,2626.33,101.01,26,Skincare,0.5,31,19,0.0438,138.23,High,3,4,2,342,9,Potential Loyalists,2652.36,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1292,29,Female,Tokyo,59400.0,2853.51,158.53,18,Haircare,0.5,24,56,0.048,50.96,High,3,2,2,322,7,Potential Loyalists,977.82,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1293,45,Female,Tokyo,76300.0,3144.64,224.62,14,Haircare,0.24,1,35,0.0412,89.85,Moderate,5,2,3,523,10,Potential Loyalists,1724.04,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1294,39,Female,Tokyo,35100.0,1944.97,243.12,8,Makeup,0.27,99,8,0.0554,243.12,Moderate,1,1,1,111,3,Lost Customers,4664.99,Silver Tier 🥈,2,Budget Conscious 💄
LUM-1295,28,Female,Milan,100500.0,3931.32,126.82,31,Fragrance,0.27,26,41,0.0391,95.89,Moderate,3,4,4,344,11,Loyal Customers,1839.94,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1296,45,Male,New York,91700.0,3760.75,197.93,19,Skincare,0.08,13,49,0.041,76.75,Low,4,3,3,433,10,Loyal Customers,1472.68,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1297,39,Female,Los Angeles,94300.0,3932.74,95.92,41,Haircare,0.4,6,20,0.0417,196.64,High,5,5,4,554,14,Champions,3773.13,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1298,44,Female,Tokyo,116000.0,4388.4,91.42,48,Skincare,0.24,14,11,0.0378,398.95,Moderate,4,5,4,454,13,Champions,7655.05,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1299,42,Female,Los Angeles,138000.0,5927.2,174.33,34,Haircare,0.23,1,10,0.043,592.72,Moderate,5,5,5,555,15,Champions,11373.11,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1300,26,Male,Paris,72300.0,3203.77,200.24,16,Fragrance,0.21,15,27,0.0443,118.66,Moderate,4,2,3,423,9,Potential Loyalists,2276.85,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1301,29,Female,Dubai,101700.0,4450.4,211.92,21,Haircare,0.23,26,33,0.0438,134.86,Moderate,3,3,4,334,10,Loyal Customers,2587.69,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1302,44,Female,Dubai,95300.0,4156.81,138.56,30,Haircare,0.33,71,44,0.0436,94.47,Moderate,1,4,4,144,9,Loyal Customers,1812.69,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1303,42,Male,Los Angeles,98200.0,4035.19,84.07,48,Bath & Body,0.11,40,6,0.0411,672.53,Low,2,5,4,254,11,Loyal Customers,12904.51,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1304,35,Male,London,98700.0,4370.24,161.86,27,Fragrance,0.41,4,22,0.0443,198.65,High,5,4,4,544,13,Champions,3811.7,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1305,37,Male,London,140700.0,5480.87,114.18,48,Makeup,0.14,5,30,0.039,182.7,Low,5,5,5,555,15,Champions,3505.65,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1306,50,Male,Milan,68900.0,2692.57,96.16,28,Makeup,0.16,19,42,0.0391,64.11,Low,3,4,2,342,9,Potential Loyalists,1230.14,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1307,29,Female,Milan,31600.0,1610.45,134.2,12,Fragrance,0.5,7,3,0.051,536.82,High,5,1,1,511,7,Lost Customers,10300.5,Platinum Tier 💎,3,At-Risk Customers ⚠️
LUM-1308,42,Male,Dubai,60600.0,2319.15,154.61,15,Makeup,0.25,1,42,0.0383,55.22,Moderate,5,2,1,521,8,Lost Customers,1059.56,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1309,33,Female,Paris,111500.0,3771.99,125.73,30,Fragrance,0.32,57,57,0.0338,66.18,Moderate,1,4,3,143,8,Loyal Customers,1269.86,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1310,33,Male,New York,85800.0,3247.24,180.4,18,Makeup,0.25,1,46,0.0378,70.59,Moderate,5,2,3,523,10,Potential Loyalists,1354.48,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1311,48,Male,New York,68600.0,2922.86,88.57,33,Bath & Body,0.1,62,25,0.0426,116.91,Low,1,5,2,152,8,At Risk,2243.27,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1312,45,Male,Milan,47300.0,2474.08,103.09,24,Makeup,0.35,5,59,0.0523,41.93,High,5,4,2,542,11,Potential Loyalists,804.55,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1313,44,Female,Paris,92700.0,3487.84,193.77,18,Haircare,0.18,128,49,0.0376,71.18,Low,1,2,3,123,6,At Risk,1365.8,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1314,50,Female,Milan,107600.0,4569.05,103.84,44,Fragrance,0.14,32,15,0.0425,304.6,Low,2,5,5,255,12,Loyal Customers,5844.66,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1315,36,Female,New York,95700.0,3486.3,193.68,18,Skincare,0.57,46,18,0.0364,193.68,High,2,2,3,223,7,At Risk,3716.33,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1316,43,Non-Binary,Los Angeles,76100.0,2887.64,90.24,32,Skincare,0.4,4,28,0.0379,103.13,High,5,4,2,542,11,Potential Loyalists,1978.86,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1317,32,Male,Milan,90100.0,4088.25,151.42,27,Fragrance,0.22,69,57,0.0454,71.72,Moderate,1,4,4,144,9,Loyal Customers,1376.16,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1318,39,Female,Tokyo,89900.0,3660.79,110.93,33,Bath & Body,0.52,63,33,0.0407,110.93,High,1,5,3,153,9,Loyal Customers,2128.52,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1319,34,Female,Los Angeles,91600.0,3653.91,98.75,37,Makeup,0.69,37,52,0.0399,70.27,High,2,5,3,253,10,Loyal Customers,1348.34,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1320,37,Female,Milan,43500.0,2093.08,174.42,12,Bath & Body,0.42,24,3,0.0481,697.69,High,3,1,1,311,5,Need Attention,13387.28,Platinum Tier 💎,3,At-Risk Customers ⚠️
LUM-1321,42,Male,Dubai,91900.0,3354.58,239.61,14,Skincare,0.07,44,19,0.0365,176.56,Low,2,2,3,223,7,At Risk,3387.83,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1322,26,Male,Milan,69600.0,2836.75,88.65,32,Fragrance,0.25,1,18,0.0408,157.6,Moderate,5,4,2,542,11,Potential Loyalists,3024.03,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1323,59,Female,Dubai,121400.0,4749.8,153.22,31,Fragrance,0.16,31,57,0.0391,83.33,Low,3,4,5,345,12,Loyal Customers,1598.94,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1324,24,Female,Paris,89700.0,4008.91,200.45,20,Bath & Body,0.12,65,39,0.0447,102.79,Low,1,3,4,134,8,Loyal Customers,1972.33,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1325,22,Male,New York,114200.0,3995.87,159.83,25,Bath & Body,0.3,15,54,0.035,74.0,Moderate,4,4,4,444,12,Champions,1419.91,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1326,48,Male,Los Angeles,74400.0,3632.9,213.7,17,Makeup,0.17,4,55,0.0488,66.05,Low,5,2,3,523,10,Potential Loyalists,1267.37,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1327,44,Female,Los Angeles,75700.0,3112.11,111.15,28,Haircare,0.28,19,12,0.0411,259.34,Moderate,3,4,2,342,9,Potential Loyalists,4976.22,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1328,42,Female,London,137300.0,4972.33,248.62,20,Haircare,0.45,45,40,0.0362,124.31,High,2,3,5,235,10,Loyal Customers,2385.26,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1329,42,Female,London,100300.0,3623.01,144.92,25,Makeup,0.11,3,46,0.0361,78.76,Low,5,4,3,543,12,Loyal Customers,1511.25,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1330,35,Female,New York,60000.0,2681.94,141.15,19,Haircare,0.4,8,33,0.0447,81.27,High,4,3,2,432,9,Potential Loyalists,1559.41,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1331,26,Female,London,116400.0,4169.84,231.66,18,Skincare,0.34,5,12,0.0358,347.49,Moderate,5,2,4,524,11,Potential Loyalists,6667.64,Gold Tier 🥇,0,VIP Cosmetics Enthusiasts ✨
LUM-1332,36,Female,Los Angeles,66300.0,2652.46,176.83,15,Haircare,0.18,55,56,0.04,47.37,Low,1,2,2,122,5,At Risk,908.94,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1333,28,Male,Milan,92900.0,3676.53,167.12,22,Makeup,0.39,2,51,0.0396,72.09,High,5,3,3,533,11,Loyal Customers,1383.26,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1334,46,Female,Paris,149300.0,6068.6,202.29,30,Haircare,0.44,40,36,0.0406,168.57,High,2,4,5,245,11,Loyal Customers,3234.52,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1335,34,Male,Paris,34900.0,2027.04,184.28,11,Fragrance,0.38,15,53,0.0581,38.25,High,4,1,1,411,6,Lost Customers,733.94,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1336,26,Female,New York,78800.0,3065.1,109.47,28,Bath & Body,0.37,49,54,0.0389,56.76,High,2,4,2,242,8,At Risk,1089.11,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1337,32,Female,London,99300.0,3911.7,195.58,20,Skincare,0.02,116,8,0.0394,488.96,Low,1,3,4,134,8,Loyal Customers,9382.16,Platinum Tier 💎,2,Budget Conscious 💄
LUM-1338,40,Female,Milan,111800.0,3934.38,103.54,38,Fragrance,0.2,4,30,0.0352,131.15,Moderate,5,5,4,554,14,Champions,2516.51,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1339,29,Female,Paris,41600.0,1344.27,224.04,6,Fragrance,0.29,13,30,0.0323,44.81,Moderate,4,1,1,411,6,Lost Customers,859.81,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1340,26,Male,Paris,31200.0,1223.28,244.66,5,Makeup,0.18,58,15,0.0392,81.55,Low,1,1,1,111,3,Lost Customers,1564.78,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1341,38,Non-Binary,Tokyo,123200.0,5148.93,143.03,36,Bath & Body,0.32,10,43,0.0418,119.74,Moderate,4,5,5,455,14,Champions,2297.57,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1342,38,Female,Tokyo,59800.0,2827.02,157.06,18,Bath & Body,0.21,8,14,0.0473,201.93,Moderate,4,2,2,422,8,Potential Loyalists,3874.63,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1343,30,Female,Los Angeles,58300.0,2655.53,88.52,30,Skincare,0.2,61,52,0.0455,51.07,Moderate,1,4,2,142,7,At Risk,979.93,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1344,30,Male,Paris,139300.0,4938.21,102.88,48,Makeup,0.13,152,42,0.0355,117.58,Low,1,5,5,155,11,Loyal Customers,2256.13,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1345,38,Female,New York,87400.0,3345.5,238.96,14,Skincare,0.1,28,59,0.0383,56.7,Low,3,2,3,323,8,Potential Loyalists,1087.96,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1346,20,Female,Dubai,87700.0,3312.15,100.37,33,Haircare,0.13,11,52,0.0378,63.7,Low,4,5,3,453,12,Loyal Customers,1222.28,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1347,20,Male,Dubai,78700.0,3204.7,152.6,21,Fragrance,0.34,17,59,0.0407,54.32,Moderate,4,3,3,433,10,Loyal Customers,1042.29,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1348,28,Female,Milan,42200.0,1908.28,212.03,9,Skincare,0.19,6,57,0.0452,33.48,Low,5,1,1,511,7,Lost Customers,642.41,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1349,33,Female,Paris,108600.0,4000.41,235.32,17,Fragrance,0.26,50,59,0.0368,67.8,Moderate,2,2,4,224,8,At Risk,1300.95,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1350,39,Female,Paris,99300.0,4080.27,170.01,24,Makeup,0.17,51,56,0.0411,72.86,Low,2,4,4,244,10,Loyal Customers,1398.04,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1351,52,Male,Los Angeles,90900.0,3750.18,178.58,21,Haircare,0.48,72,4,0.0413,937.54,High,1,3,3,133,7,Loyal Customers,17989.52,Platinum Tier 💎,2,Budget Conscious 💄
LUM-1352,45,Female,Paris,80900.0,3112.85,194.55,16,Makeup,0.11,1,10,0.0385,311.28,Low,5,2,2,522,9,Potential Loyalists,5972.84,Gold Tier 🥇,3,At-Risk Customers ⚠️
LUM-1353,34,Female,New York,74800.0,3209.28,246.87,13,Haircare,0.49,28,44,0.0429,72.94,High,3,1,3,313,7,Potential Loyalists,1399.57,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1354,35,Male,Tokyo,116900.0,4928.79,182.55,27,Haircare,0.16,8,11,0.0422,448.07,Low,4,4,5,445,13,Champions,8597.57,Platinum Tier 💎,0,VIP Cosmetics Enthusiasts ✨
LUM-1355,24,Female,Paris,80100.0,3731.92,177.71,21,Fragrance,0.05,14,58,0.0466,64.34,Low,4,3,3,433,10,Loyal Customers,1234.56,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1356,35,Male,Paris,82800.0,3545.2,82.45,43,Makeup,0.39,53,52,0.0428,68.18,High,2,5,3,253,10,Loyal Customers,1308.24,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1357,32,Female,Los Angeles,103500.0,4260.88,94.69,45,Makeup,0.33,7,10,0.0412,426.09,Moderate,5,5,4,554,14,Champions,8175.81,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1358,39,Non-Binary,London,92300.0,3658.46,174.21,21,Skincare,0.05,35,53,0.0396,69.03,Low,2,3,3,233,8,Loyal Customers,1324.55,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1359,26,Female,Los Angeles,142500.0,5796.41,241.52,24,Makeup,0.25,37,5,0.0407,1159.28,Moderate,2,4,5,245,11,Loyal Customers,22244.26,Platinum Tier 💎,0,VIP Cosmetics Enthusiasts ✨
LUM-1360,41,Female,Los Angeles,23400.0,997.89,249.47,4,Skincare,0.4,107,11,0.0426,90.72,High,1,1,1,111,3,Lost Customers,1740.74,Bronze Tier 🥉,2,Budget Conscious 💄
LUM-1361,52,Female,New York,95500.0,4116.66,242.16,17,Bath & Body,0.22,52,15,0.0431,274.44,Moderate,2,2,4,224,8,At Risk,5265.95,Gold Tier 🥇,0,VIP Cosmetics Enthusiasts ✨
LUM-1362,34,Female,Milan,60300.0,2524.22,168.28,15,Bath & Body,0.11,56,11,0.0419,229.47,Low,1,2,2,122,5,At Risk,4403.07,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1363,40,Male,Paris,52000.0,2767.28,212.87,13,Bath & Body,0.52,26,33,0.0532,83.86,High,3,1,2,312,6,Potential Loyalists,1609.11,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1364,43,Non-Binary,Los Angeles,69000.0,3091.46,220.82,14,Makeup,0.13,7,27,0.0448,114.5,Low,5,2,2,522,9,Potential Loyalists,2197.03,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1365,31,Female,Los Angeles,86900.0,3521.14,185.32,19,Makeup,0.42,19,54,0.0405,65.21,High,3,3,3,333,9,Loyal Customers,1251.25,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1366,38,Female,London,88500.0,3526.55,135.64,26,Skincare,0.33,27,46,0.0398,76.66,Moderate,3,4,3,343,10,Loyal Customers,1470.95,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1367,36,Male,Los Angeles,31900.0,1774.18,161.29,11,Haircare,0.37,39,57,0.0556,31.13,High,2,1,1,211,4,Lost Customers,597.32,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1368,37,Male,Dubai,66100.0,2956.64,227.43,13,Skincare,0.35,32,47,0.0447,62.91,High,2,1,2,212,5,Lost Customers,1207.12,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1369,27,Female,Milan,94800.0,3698.5,132.09,28,Bath & Body,0.29,17,10,0.039,369.85,Moderate,4,4,3,443,11,Loyal Customers,7096.68,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1370,36,Female,Paris,54300.0,2428.05,242.8,10,Skincare,0.33,10,49,0.0447,49.55,Moderate,4,1,2,412,7,Potential Loyalists,950.77,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1371,41,Female,Paris,46000.0,2378.92,118.95,20,Haircare,0.4,6,33,0.0517,72.09,High,5,3,1,531,9,Lost Customers,1383.26,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1372,51,Female,London,22000.0,860.99,215.25,4,Makeup,0.35,41,47,0.0391,18.32,High,2,1,1,211,4,Lost Customers,351.52,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1373,46,Female,New York,61800.0,2880.76,192.05,15,Skincare,0.29,36,55,0.0466,52.38,Moderate,2,2,2,222,6,At Risk,1005.07,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1374,59,Female,Paris,44800.0,2224.36,202.21,11,Bath & Body,0.35,40,47,0.0497,47.33,High,2,1,1,211,4,Lost Customers,908.17,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1375,27,Female,Dubai,50600.0,2626.99,154.53,17,Bath & Body,0.56,16,33,0.0519,79.61,High,4,2,2,422,8,Potential Loyalists,1527.56,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1376,45,Male,Paris,75500.0,2927.8,243.98,12,Makeup,0.9,10,19,0.0388,154.09,High,4,1,2,412,7,Potential Loyalists,2956.68,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1377,38,Female,Dubai,64000.0,2741.71,182.78,15,Skincare,0.19,49,49,0.0428,55.95,Low,2,2,2,222,6,At Risk,1073.57,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1378,60,Female,Milan,44200.0,2108.52,131.78,16,Haircare,0.5,51,59,0.0477,35.74,High,2,2,1,221,5,At Risk,685.78,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1379,27,Female,Milan,22000.0,1491.64,186.46,8,Makeup,0.59,21,56,0.0678,26.64,High,3,1,1,311,5,Need Attention,511.17,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1380,26,Female,Tokyo,95600.0,3974.74,128.22,31,Skincare,0.08,33,21,0.0416,189.27,Low,2,4,4,244,10,Loyal Customers,3631.71,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1381,29,Female,Tokyo,111300.0,4023.63,129.79,31,Fragrance,0.33,16,5,0.0362,804.73,Moderate,4,4,4,444,12,Champions,15441.16,Platinum Tier 💎,1,Frequent Buyers 🛍️
LUM-1382,18,Female,Dubai,71100.0,3075.81,146.47,21,Bath & Body,0.34,42,48,0.0433,64.08,Moderate,2,3,2,232,7,At Risk,1229.57,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1383,30,Female,New York,75700.0,3750.77,220.63,17,Haircare,0.63,63,32,0.0495,117.21,High,1,2,3,123,6,At Risk,2249.03,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1384,27,Female,Paris,85100.0,3662.03,166.46,22,Haircare,0.4,40,12,0.043,305.17,High,2,3,3,233,8,Loyal Customers,5855.6,Gold Tier 🥇,0,VIP Cosmetics Enthusiasts ✨
LUM-1385,37,Female,Los Angeles,140300.0,5901.91,196.73,30,Haircare,0.06,25,51,0.0421,115.72,Low,3,4,5,345,12,Loyal Customers,2220.44,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1386,39,Female,Paris,30100.0,1866.42,143.57,13,Bath & Body,0.46,21,31,0.062,60.21,High,3,1,1,311,5,Need Attention,1155.31,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1387,56,Male,Tokyo,70500.0,3376.22,125.05,27,Skincare,0.17,35,42,0.0479,80.39,Low,2,4,3,243,9,Loyal Customers,1542.52,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1388,46,Female,Los Angeles,24700.0,1457.49,242.92,6,Makeup,0.04,39,20,0.059,72.87,Low,2,1,1,211,4,Lost Customers,1398.23,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1389,29,Male,Dubai,97700.0,4076.05,185.28,22,Skincare,0.65,28,14,0.0417,291.15,High,3,3,4,334,10,Loyal Customers,5586.59,Gold Tier 🥇,0,VIP Cosmetics Enthusiasts ✨
LUM-1390,26,Female,Los Angeles,80000.0,3376.66,241.19,14,Makeup,0.18,34,51,0.0422,66.21,Low,2,2,3,223,7,At Risk,1270.44,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1391,41,Female,Paris,92100.0,3724.8,112.87,33,Haircare,0.04,3,25,0.0404,148.99,Low,5,5,3,553,13,Loyal Customers,2858.82,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1392,21,Female,Paris,90400.0,3886.66,105.04,37,Skincare,0.27,106,13,0.043,298.97,Moderate,1,5,4,154,10,Loyal Customers,5736.64,Gold Tier 🥇,2,Budget Conscious 💄
LUM-1393,56,Female,New York,119700.0,4533.2,226.66,20,Haircare,0.25,54,11,0.0379,412.11,Moderate,2,3,4,234,9,Loyal Customers,7907.57,Gold Tier 🥇,0,VIP Cosmetics Enthusiasts ✨
LUM-1394,48,Male,London,103800.0,4698.61,195.78,24,Fragrance,0.34,16,56,0.0453,83.9,Moderate,4,4,5,445,13,Champions,1609.87,Bronze Tier 🥉,0,VIP Cosmetics Enthusiasts ✨
LUM-1395,30,Female,Los Angeles,114100.0,4215.1,110.92,38,Haircare,0.29,28,58,0.0369,72.67,Moderate,3,5,4,354,12,Loyal Customers,1394.39,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1396,18,Male,Tokyo,47700.0,2412.92,127.0,19,Haircare,0.09,1,26,0.0506,92.8,Low,5,3,2,532,10,Potential Loyalists,1780.65,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1397,50,Female,Tokyo,126800.0,5351.6,214.06,25,Makeup,0.22,1,27,0.0422,198.21,Moderate,5,4,5,545,14,Champions,3803.25,Silver Tier 🥈,0,VIP Cosmetics Enthusiasts ✨
LUM-1398,34,Female,London,59700.0,2536.51,158.53,16,Fragrance,0.33,10,57,0.0425,44.5,Moderate,4,2,2,422,8,Potential Loyalists,853.87,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1399,49,Female,Paris,61700.0,2325.61,193.8,12,Haircare,0.28,40,27,0.0377,86.13,Moderate,2,1,1,211,4,Lost Customers,1652.66,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1400,18,Female,New York,94500.0,4154.16,134.01,31,Haircare,0.13,66,49,0.044,84.78,Low,1,4,4,144,9,Loyal Customers,1626.76,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1401,29,Female,New York,95600.0,3907.02,144.7,27,Fragrance,0.6,28,11,0.0409,355.18,High,3,4,4,344,11,Loyal Customers,6815.19,Gold Tier 🥇,1,Frequent Buyers 🛍️
LUM-1402,36,Female,Tokyo,47500.0,2406.49,240.65,10,Fragrance,0.29,26,14,0.0507,171.89,Moderate,3,1,1,311,5,Need Attention,3298.23,Silver Tier 🥈,3,At-Risk Customers ⚠️
LUM-1403,36,Female,New York,78900.0,3228.66,124.18,26,Skincare,0.05,18,13,0.0409,248.36,Low,4,4,3,443,11,Loyal Customers,4765.53,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1404,31,Female,Milan,137100.0,5818.08,166.23,35,Makeup,0.26,6,51,0.0424,114.08,Moderate,5,5,5,555,15,Champions,2188.97,Bronze Tier 🥉,1,Frequent Buyers 🛍️
LUM-1405,42,Male,London,33600.0,1040.9,208.18,5,Fragrance,0.29,4,40,0.031,26.02,Moderate,5,1,1,511,7,Lost Customers,499.27,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1406,24,Non-Binary,Paris,137000.0,5407.85,120.17,45,Fragrance,0.67,50,30,0.0395,180.26,High,2,5,5,255,12,Loyal Customers,3458.83,Silver Tier 🥈,1,Frequent Buyers 🛍️
LUM-1407,34,Male,Milan,76500.0,3580.02,149.17,24,Bath & Body,0.3,91,10,0.0468,358.0,Moderate,1,4,3,143,8,Loyal Customers,6869.3,Gold Tier 🥇,2,Budget Conscious 💄
LUM-1408,37,Female,London,22000.0,1301.6,185.94,7,Fragrance,0.12,21,12,0.0592,108.47,Low,3,1,1,311,5,Need Attention,2081.32,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1409,41,Female,Dubai,37200.0,1892.71,157.73,12,Makeup,0.49,37,27,0.0509,70.1,High,2,1,1,211,4,Lost Customers,1345.08,Bronze Tier 🥉,3,At-Risk Customers ⚠️
LUM-1410,43,Female,Los Angeles,51300.0,2165.3,154.66,14,Haircare,0.57,86,49,0.0422,44.19,High,1,2,1,121,4,At Risk,847.92,Bronze Tier 🥉,2,Budget Conscious 💄
